PostId,ParentId,Score,OwnerUserId,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Tags,CommentCount
32749533,31089801,154,216012,216012,,2017-01-20T14:59:09.937,2017-01-20T14:59:09.937,<javascript><ecmascript-6><babeljs><transpiler>,21
32841164,391979,208,3074768,8756681,,2018-06-06T14:28:38.777,2018-06-06T14:28:38.777,<javascript><jquery><ip-address>,13
3278427,3258243,689,381619,381619,,2017-08-17T20:32:08.227,2017-08-17T20:32:08.227,<git><bash><shell>,26
3279550,3279543,1856,87234,-1,,2017-05-23T12:10:54.780,2016-09-30T09:30:29.847,<c++><copy-constructor><assignment-operator><c++-faq><copy-and-swap>,110
33036344,32982237,10,458193,458193,,2015-10-10T10:24:44.287,2015-10-10T10:24:44.287,<javascript><redux>,11
3335420,1043339,254,43965,43965,,2015-08-04T09:29:24.073,2015-08-04T09:29:24.073,<javascript><localization><internationalization>,16
3354511,824349,1641,160173,-1,,2017-05-23T12:18:24.630,2015-01-13T17:58:24.837,<javascript><html><url><url-rewriting><friendly-url>,26
33534187,33422681,99,1006521,1006521,,2017-02-07T21:26:36.617,2017-02-07T21:26:36.617,<xcode><xcode7><xcode-ui-testing>,12
353073,325426,604,11361,991609,,2017-11-23T10:32:39.847,2017-11-23T10:32:39.847,<c#><reflection><default>,12
359910,359788,1233,1790,542251,Jason Bunting,2018-08-28T08:34:07.853,2018-08-28T08:34:07.853,<javascript>,22
363692,363681,3279,462,462,Greg Case,2018-01-04T07:02:27.343,2018-01-04T07:02:27.343,<java><random><integer>,15
377028,377017,298,20840,2478767,Jay,2017-11-10T11:08:33.337,2017-11-10T11:08:33.337,<python><path>,13
381275,381265,246,29,475876,Michael Haren,2018-06-14T04:58:21.073,2018-06-14T04:58:21.073,<php><validation>,12
381549,381542,1713,33708,3889449,Mehrdad Afshari,2016-11-30T10:47:52.610,2016-11-30T10:47:52.610,<c><arrays><pointers><pointer-arithmetic>,38
383503,383402,584,811,-1,Shog9,2017-05-23T12:18:25.473,2015-12-14T16:11:24.003,<javascript>,25
384380,384286,240,36866,8554766,some,2017-11-21T09:43:29.167,2017-11-21T09:43:29.167,<javascript><dom><object>,12
385491,385367,512,36866,1561148,some,2017-06-08T18:23:37.717,2017-06-08T18:23:37.717,<http><browser><caching><cross-browser><refresh>,11
3368118,1255512,259,227299,227299,,2017-06-05T16:12:54.073,2017-06-05T16:12:54.073,<html5><canvas>,13
3377682,3352664,1693,305431,1438393,,2014-06-04T06:16:39.033,2014-06-04T06:16:39.033,<xcode><frameworks><xcode4>,24
3390426,3390396,2172,165737,401095,,2014-07-01T11:28:30.727,2014-07-01T11:28:30.727,<javascript><undefined>,25
3418285,3418231,235,309308,NA,user283145,2013-08-28T17:37:34.807,2013-08-28T17:37:34.807,<c++><string><replace><substring><std>,11
34599594,34570758,435,458193,-1,,2017-05-23T12:02:59.213,2016-02-24T15:40:09.820,<javascript><asynchronous><reactjs><redux><redux-thunk>,20
3422740,3422685,124,87699,87699,,2016-08-06T15:17:18.610,2016-08-06T15:17:18.610,<python><python-2.7>,11
3430395,3430372,1014,7432,7432,,2015-10-25T20:25:24.027,2015-10-25T20:25:24.027,<python><filesystems>,17
3437484,3437404,291,243613,3478852,,2014-11-02T18:07:04.307,2014-11-02T18:07:04.307,<c><max><min><c-preprocessor>,16
3489099,3488042,332,359307,1429450,,2018-05-09T11:17:47.583,2018-05-09T11:17:47.583,<pdf><fonts><ghostscript><true-type-fonts><embedded-fonts>,23
3492815,610406,93,230340,63550,,2014-07-10T23:49:12.807,2014-07-10T23:49:12.807,<javascript><printf><string.format>,9
3506039,3505930,448,272824,974045,,2018-03-19T21:13:46.913,2018-03-19T21:13:46.913,<android><httpwebrequest><androidhttpclient>,17
35415559,35411423,2014,458193,2172260,,2016-10-20T02:28:06.717,2016-10-20T02:28:06.717,<javascript><timeout><redux>,22
3540295,3514784,1748,427242,5781745,,2018-03-30T21:08:35.590,2018-03-30T21:08:35.590,<javascript><jquery><mobile><browser-detection>,35
3542752,3542717,13,53114,53114,,2010-08-22T18:49:58.493,2010-08-22T18:49:58.493,<php><regex><string><ascii>,12
3549021,477572,354,428556,1246639,,2014-03-20T06:18:29.237,2014-03-20T06:18:29.237,<android><image><bitmap><out-of-memory><android-bitmap>,28
3561399,3561381,965,157882,457268,,2016-10-10T14:57:40.307,2016-10-10T14:57:40.307,<http><http-headers>,16
3608791,75980,1820,16686,5894241,,2018-08-06T06:36:54.823,2018-08-06T06:36:54.823,<javascript><encoding><query-string>,16
3624358,3624280,770,306602,2219237,,2016-09-14T09:10:06.630,2016-09-14T09:10:06.630,<android><sharedpreferences>,14
3638271,3139619,551,285694,285694,,2015-06-10T20:33:41.677,2015-06-10T20:33:41.677,<objective-c><cocoa><email><email-validation>,48
36454808,32758811,94,267851,341994,,2017-04-28T21:20:52.660,2017-04-28T21:20:52.660,<swift><swift2><foundation>,11
36796281,36795819,1320,458193,5423108,,2017-06-30T15:08:59.273,2017-06-30T15:08:59.273,<javascript><import><ecmascript-6>,14
37420341,37416424,10,85785,85785,,2016-05-25T08:46:25.070,2016-05-25T08:46:25.070,<ormlite-servicestack>,12
3755343,3755227,10,113716,263004,,2012-07-16T23:23:22.893,2012-07-16T23:23:22.893,<javascript>,19
3758880,3758606,1103,276052,276052,,2016-10-29T03:58:01.857,2016-10-29T03:58:01.857,<java><formatting><apache-commons>,17
3764660,3764291,104,190597,190597,,2016-10-22T13:23:46.320,2016-10-22T13:23:46.320,<python><networking>,17
3802238,3802192,232,18771,18771,,2012-02-20T09:55:36.310,2012-02-20T09:55:36.310,<java><regex>,19
38343753,38343186,21,1187415,1187415,,2016-10-12T08:01:59.790,2016-10-12T08:01:59.790,<ios><swift>,18
38466703,38446097,365,2854405,2854405,,2017-08-30T13:23:33.297,2017-08-30T13:23:33.297,<swift><xcode8><xcode8-beta3>,13
3809435,3809401,365,165839,8743681,,2018-01-01T09:24:41.590,2018-01-01T09:24:41.590,<javascript><regex>,33
3855394,901115,1201,340760,6877799,,2018-07-16T08:58:08.143,2018-07-16T08:58:08.143,<javascript><url><plugins><query-string>,24
39347461,39346231,33,5304286,-1,,2017-05-23T11:54:59.990,2016-11-29T22:43:01.063,<ios><nsurlsession><ios10><nsurlsessiondownloadtask>,31
3879077,3878624,194,6309,6309,,2017-07-31T20:14:45.787,2017-07-31T20:14:45.787,<git>,22
3886106,3885817,1075,80860,253468,,2016-02-08T15:12:54.817,2016-02-08T15:12:54.817,<javascript><types><numbers>,23
39600793,39548175,97,121278,1751946,,2017-06-06T09:25:08.100,2017-06-06T09:25:08.100,<javascript><webpack><bundle><webpack-plugin><commonschunkplugin>,15
417184,417142,4206,6521,155077,Paul Dixon,2018-03-21T14:12:54.810,2018-03-21T14:12:54.810,<http><url><browser><max><content-length>,14
424142,424071,2907,8985,8985,Ryan McGeary,2016-06-07T19:18:14.613,2016-06-07T19:18:14.613,<git><git-show>,23
436040,426026,281,23843,-1,MilanG,2017-05-23T11:54:47.530,2014-07-10T15:18:45.400,<windows><git><cygwin><msysgit>,19
442474,442404,262,12161,1224186,,2015-09-27T01:42:32.870,2015-09-27T01:42:32.870,<javascript><html><css><dom><position>,13
449000,448981,924,43089,4967412,Triptych,2016-08-16T00:44:30.500,2016-08-16T00:44:30.500,<css><css-selectors>,13
461224,461203,1325,20984,933810,Luc Touraille,2018-02-28T18:02:10.210,2018-02-28T18:02:10.210,<c++><polymorphism><virtual-destructor>,12
467053,466764,466,6309,832370,VonC,2018-01-17T15:25:18.110,2018-01-17T15:25:18.110,<git><ignore>,16
3933864,3933637,32,187690,187690,,2015-07-16T19:03:26.380,2015-07-16T19:03:26.380,<c++><operator-overloading><assignment-operator>,12
3935554,1249548,385,199217,-1,,2017-05-23T11:47:36.153,2015-08-17T00:27:35.920,<r><visualization><ggplot2>,14
4026828,1187518,751,121607,3509591,,2018-01-17T20:54:45.013,2018-01-17T20:54:45.013,<javascript><arrays><array-difference>,17
4030983,4030959,47,87234,-1,,2017-05-23T10:29:40.617,2011-02-04T02:16:44.027,<c++><compiler-warnings>,16
4050444,4049856,27,314056,-1,,2017-05-23T11:53:31.703,2014-05-02T15:06:56.697,<php><path><realpath>,18
4095133,4094699,146,463115,1012053,,2018-08-04T13:40:11.107,2018-08-04T13:40:11.107,<windows><parsing><batch-file><cmd><variable-expansion>,26
4114122,4114095,7912,119963,297468,,2018-04-04T17:54:07.537,2018-04-04T17:54:07.537,<git><git-checkout><git-reset><git-revert>,66
4116124,4116067,973,225727,1863692,,2015-03-04T02:13:52.273,2015-03-04T02:13:52.273,<ruby-on-rails><ruby-on-rails-3><rake>,20
4128377,4128323,421,427328,427328,,2012-12-20T05:55:32.480,2012-12-20T05:55:32.480,<php><arrays><multidimensional-array>,20
4139331,4139219,1122,498666,1033581,,2017-06-29T17:27:57.570,2017-06-29T17:27:57.570,<ios><objective-c><grand-central-dispatch><objective-c-blocks>,20
4158763,3987683,2134,200266,82952,,2018-01-12T22:45:18.757,2018-01-12T22:45:18.757,<installation><versioning><homebrew>,43
4158997,4158900,42,12711,-1,,2017-05-23T10:30:52.530,2014-11-14T08:24:38.133,<c++><c><gcc><resources><embedded-resource>,14
