PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
89243 ,  7.6 , "[ 0,0,0.25,1,-0.25,1,0.8,0,-0.25,0.55,0.25,1,0.25,0,0,-1,1.3,1,0,0,0.85,0.5,0,0,0.6,-0.25 ]" , "[ 1,0,0,0,0,0,2,0,0,6,6 ]" , "[ 0,1.25,0.75,0.75,1.8,0.8,0.3,1.25,1.25,1.3,1.7 ]" , "[ 0,1.25,2,2.75,4.55,5.35,5.65,6.9,8.15,9.45,11.15 ]"
101945 ,  11.75 , "[ 0,0,1,-0.25,0,0,1,0.2,0.75,1.1,0.6,0.75,-0.5,0.8,1,0.25,1.9,0.1,0,0.35,1.3,-0.25,0.9,0,-0.25,1 ]" , "[ 0,0,0,0,0,0,4,0,0,0,4,4,0,0 ]" , "[ 0,1,0.75,-0.25,0,1,2.65,0.25,0.3,1.8,2.25,1.95,0.75,1 ]" , "[ 0,1,1.75,1.5,1.5,2.5,5.15,5.4,5.7,7.5,9.75,11.7,12.45,13.45 ]"
105074 ,  9.65 , "[ 0,0,0,-0.25,0,-0.25,-0.6,0,1.2,0.5,2.15,0,0,1,0,2.8,0,-0.5,-0.5,1,2.05,1.05,0 ]" , "[ 0,0,4,2,5,5,0 ]" , "[ 0,0,-1.1,1.7,3.8,3.1,0 ]" , "[ 0,0,-1.1,0.6,4.4,7.5,7.5 ]"
106223 ,  5.65 , "[ 0,0,2.15,0,-0.25,-0.25,0.25,-0.5,0.5,0,-0.5,-0.25,0.85,0,0.6,0.55,1.1,1.65,-0.25 ]" , "[ 0,8,8 ]" , "[ 0,1.9,4.25 ]" , "[ 0,1.9,6.15 ]"
109025 ,  -4.9 , "[ 0,0,-0.25,-0.6,0,-0.35,-0.5,-0.5,-0.5,-1.8,-0.75,0,1,-0.75,-1.5,1.1,0,1,-0.25,-0.25 ]" , "[ 0,1,7,0,0,2,0,2 ]" , "[ 0,-0.25,-4.4,1,0.25,-0.4,1,-0.5 ]" , "[ 0,-0.25,-4.65,-3.65,-3.4,-3.8,-2.8,-3.3 ]"
111111 ,  9.3 , "[ 0,0.6,-0.25,0,0,4.2,3.05,0,0,-0.25,0.8,0,0,1,-0.25,0,0.5,-0.5,0.4 ]" , "[ 2,0,2,1,2,0,4,0 ]" , "[ 0.35,0,7.25,0,0.8,1,-0.25,0.4 ]" , "[ 0.35,0.35,7.6,7.6,8.4,9.4,9.15,9.55 ]"
119572 ,  15.35 , "[ 0,0,0.75,0,0.4,1,0,-1.25,-1.25,0,0,0.3,0,0,4.85,-0.15,0.8,0,1.95,2.1,-0.4,0.8,1.8,0.75,1.9,0,1 ]" , "[ 0,1,0,0,0,5,12,0,0 ]" , "[ 0,0.75,0.4,1.4,1,-2.2,14.4,1,1 ]" , "[ 0,0.75,1.15,2.55,3.55,1.35,15.75,16.75,17.75 ]"
122704 ,  3.3 , "[ 0,1.5,0,-0.15,0,0.6,0,0,0,0,-0.75,1.1,0,0,1,0,0,0,0,0 ]" , "[ 1,9,0,0,0,2,0,0 ]" , "[ 1.5,0.8,0,1,1,0,0,0 ]" , "[ 1.5,2.3,2.3,3.3,4.3,4.3,4.3,4.3 ]"
122721 ,  8.35 , "[ 0,0,0,0,0,0,-0.25,0,0,0,0,-1.5,0,0,0.75,1.4,2.1,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,-0.25,0,-0.25,1,0,-0.3,0.6,0.85,-1,-0.25,-0.1,1,0.1,-0.75,0,0,1.55,0,1,0.8,1,0.25,0 ]" , "[ 0,0,0,0,0,0,0,0,0,2,4,0,3,2,1,0,0,2,0,0,5,0,0,1,1,1,0,0,0,1,0 ]" , "[ 0,0,0,0,0,-0.25,-0.25,0,0,-1.5,4.25,0,0.6,0,0,0,0,-0.25,-0.25,0.75,0.15,-0.35,0.9,0.1,0,1.55,1,1.8,1.8,0.25,0 ]" , "[ 0,0,0,0,0,-0.25,-0.5,-0.5,-0.5,-2,2.25,2.25,2.85,2.85,2.85,2.85,2.85,2.6,2.35,3.1,3.25,2.9,3.8,3.9,3.9,5.45,6.45,8.25,10.05,10.3,10.3 ]"
130123 ,  8.9 , "[ 0,1.55,2.05,0.7,0,0,-0.25,1.25,0.1,0.6,2.15,0,0.25,0.5 ]" , "[ 3,9 ]" , "[ 4.3,4.6 ]" , "[ 4.3,8.9 ]"
