PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
106223 ,  7.65 , "[ 0,0,0,0,0,-0.25,0,0,0.15,0,1.25,0.75,0,1.05,0.8,1.4,0.65,0.75,0,0,-0.75,0,-0.8,0,0.6,-2.3,1.25,2.6,0.25,0,-0.75,1,0 ]" , "[ 0,0,0,0,0,0,16,6,0,1 ]" , "[ 0,0,0,0,-0.25,-0.25,5.25,2.4,0.25,0 ]" , "[ 0,0,0,0,-0.25,-0.5,4.75,7.15,7.4,7.4 ]"
109025 ,  6.95 , "[ 0,0.15,0,0.75,0,0.75,0,-0.65,-0.3,-0.25,0.45,0,0,0,-0.5,0.75,0,0,1,1.3,1.9,1.6 ]" , "[ 0,0,1,9,2,0,3 ]" , "[ 0.15,0.15,0.75,-1.11022302462516e-16,0.75,1,4.8 ]" , "[ 0.15,0.3,1.05,1.05,1.8,2.8,7.6 ]"
111111 ,  -1.45 , "[ 0,-0.4,0,0.5,0,0.2,0,-1,1,-0.8,-1.8,0.3,-1.65,0.25,0.5,0.5,-0.75,1.55,-1.4,-0.5,1,1.05 ]" , "[ 1,3,12,0,1 ]" , "[ -0.4,0.7,-3.3,0.5,1.05 ]" , "[ -0.4,0.3,-3,-2.5,-1.45 ]"
119572 ,  3.1 , "[ 0,0,0,0,0,0,0,0,0,0,0.5,0.85,1,0.35,0,1.3,0,-2,-0.2,0.25,-1.25,0,0.25,0.35,0.1,-0.75,0.1,1.5,0.5,0,-0.75,-0.75,1.5,0.25 ]" , "[ 0,0,0,0,0,0,0,0,0,1,0,1,14,4 ]" , "[ 0,0,0,0,0,0,0,0,0,0.5,1.85,0.35,0.15,0.25 ]" , "[ 0,0,0,0,0,0,0,0,0,0.5,2.35,2.7,2.85,3.1 ]"
122704 ,  12.85 , "[ 0,0.35,0.25,-0.35,-1.2,-0.7,0,0.35,0,1.85,0,1.6,0,-0.25,0,0,-0.25,0,0,0.75,0.5,-0.25,1.1,0,0.4,0.4,-0.15,0,-0.35,-0.1,0.85,-0.1,0,0.25,-0.5,1.3,2.15,0.25,0,-0.5,0.5,1.35,0.5,0.25,0,0,0.8,0.5,0.8,0.5,0,0,0.4,-0.75,-0.85,-0.1,0,0.3,1,0 ]" , "[ 4,0,3,1,0,0,0,0,0,3,1,0,0,0,0,1,1,3,1,0,1,1,2,0,0,2,0,0,1,1,0,0,0,0 ]" , "[ -0.95,-0.7,2.2,1.6,-0.25,-0.25,0,-0.25,-0.25,1.25,1.1,0.4,0.8,0.25,-0.15,-0.35,0.85,-0.25,2.15,0.25,-0.5,1.35,0.25,0.8,1.3,1.3,0,0.4,-0.75,-0.1,0.3,1.3,1,0 ]" , "[ -0.95,-1.65,0.55,2.15,1.9,1.65,1.65,1.4,1.15,2.4,3.5,3.9,4.7,4.95,4.8,4.45,5.3,5.05,7.2,7.45,6.95,8.3,8.55,9.35,10.65,11.95,11.95,12.35,11.6,11.5,11.8,13.1,14.1,14.1 ]"
122721 ,  5.4 , "[ 0,0,0,1.7,0,0,-1.05,0.5,2.6,1.4,-1.25,-0.6,-0.25,0.75,1.35,0,-0.5,0.5,0.25,0,-0.1,-0.55,0,0,-0.6,0,1,0.25 ]" , "[ 0,0,1,6,3,3,2,0,4 ]" , "[ 0,0,1.7,2.2,1.85,0.25,-0.65,0,0.65 ]" , "[ 0,0,1.7,3.9,5.75,6,5.35,5.35,6 ]"
130123 ,  10.75 , "[ 0,0,0,0,0.85,-0.75,1.45,0.25,1.35,2.8,2.2,1.25,0.75,0,-0.4,1 ]" , "[ 0,0,0,9,2 ]" , "[ 0,0,0,10.15,0.6 ]" , "[ 0,0,0,10.15,10.75 ]"
133997 ,  15.25 , "[ 0,0.5,0.6,0.25,-0.25,0,0,0,0,1.5,0.5,0,0,0.25,1.6,0.05,0,0.75,0.15,0.85,2.75,0.4,-0.8,0,0,0,0,1,0.75,2.5,1.9,0,0,0,0 ]" , "[ 3,0,0,0,0,3,3,1,4,0,0,0,0,0,2,0,0,0,0 ]" , "[ 1.35,-0.25,0,0,0,2,1.9,0.75,3.2,0,0,0,1,1.75,4.4,0,0,0,0 ]" , "[ 1.35,1.1,1.1,1.1,1.1,3.1,5,5.75,8.95,8.95,8.95,8.95,9.95,11.7,16.1,16.1,16.1,16.1,16.1 ]"
135614 ,  13.85 , "[ 0,0.8,1.15,-0.85,0,1,0.3,1.6,0.8,1.45,1.05,0.75,0.5,1.25,0.4,1.75,0,0,0.25,0,0.5,0,1,-0.25,1,-1,0.4 ]" , "[ 0,2,0,10,2,1,0,0,0,0,1 ]" , "[ 0.8,0.3,1,9.85,0.25,0.5,1,0.75,0.75,0,0.4 ]" , "[ 0.8,1.1,2.1,11.95,12.2,12.7,13.7,14.45,15.2,15.2,15.6 ]"
145309 ,  9.9 , "[ 0,0.55,0.6,-0.25,0.25,0.75,0.1,0,0.5,1.9,1.4,0.25,-1.4,1,0.75,0,0,2.25,1.25 ]" , "[ 2,2,1,2,0,0,1,3 ]" , "[ 1.15,1,0,3.3,-1.15,-0.4,0.75,3.5 ]" , "[ 1.15,2.15,2.15,5.45,4.3,3.9,4.65,8.15 ]"
